,Compound,Date,Negative,Neutral,Positive,Source,Tweets_Ago,text
0,0.0,Wed Jan 10 16:12:09 +0000 2018,0.0,1.0,0.0,@BBC,1,@MrGPrimary @tim_jumpclarke @redgierob @ICTEvangelist @gazneedle @thisfoolj @JennaLucas81 @bryngoodman @leah_moo… https://t.co/8N2cUdR5tO
1,-0.296,Wed Jan 10 16:11:52 +0000 2018,0.095,0.905,0.0,@BBC,2,RT @aliShihabi: The @BBC program #HouseofSaud is not balanced. They give full airtime to many Saudi critics yet my comments  are truncated…
2,-0.296,Wed Jan 10 16:11:30 +0000 2018,0.095,0.905,0.0,@BBC,3,RT @aliShihabi: The @BBC program #HouseofSaud is not balanced. They give full airtime to many Saudi critics yet my comments  are truncated…
3,0.0,Wed Jan 10 16:11:29 +0000 2018,0.0,1.0,0.0,@BBC,4,"RT @Umakant_satlok: #1CroreChallenge
@BBC @BBCHindi
@DDNewsHindi
@BBCsarika
@Zubair_BBC
@BBCMukeshS
@BBCPankajP
@vandnadhand
@TweetNitinS
न…"
4,0.3818,Wed Jan 10 16:11:14 +0000 2018,0.0,0.88,0.12,@BBC,5,"@TurnerMalcolm @afneil @BBC Dear sir 
As @afneil is the most balanced in the media, are you a selective listener or… https://t.co/58wJdce49l"
5,-0.296,Wed Jan 10 16:11:08 +0000 2018,0.095,0.905,0.0,@BBC,6,RT @aliShihabi: The @BBC program #HouseofSaud is not balanced. They give full airtime to many Saudi critics yet my comments  are truncated…
6,0.0,Wed Jan 10 16:11:06 +0000 2018,0.0,1.0,0.0,@BBC,7,@grandpa00seven @cjwerleman @BBC @DouglasKMurray Douglas Murray is 100% correct
7,-0.7397,Wed Jan 10 16:10:43 +0000 2018,0.294,0.706,0.0,@BBC,8,RT @AnnaMcMorrin: .@BBC @BBCRadio4 this is a very bad decision. Stop trying to shut down Women’s voices. https://t.co/vPulAVwLCo
8,-0.296,Wed Jan 10 16:10:42 +0000 2018,0.099,0.901,0.0,@BBC,9,The @BBC program #HouseofSaud is not balanced. They give full airtime to many Saudi critics yet my comments  are tr… https://t.co/mll5bZqd2J
9,0.0,Wed Jan 10 16:10:36 +0000 2018,0.0,1.0,0.0,@BBC,10,"RT @BBC: 🚀✨ David Bowie changed music forever. 

Throughout his career, he reinvented not just his sound but his persona over &amp; over again.…"
10,0.0,Wed Jan 10 16:10:17 +0000 2018,0.0,1.0,0.0,@BBC,11,#CES 2018: @Kodak's plans for the #KodakCoin and @Bitcoin mining: https://t.co/xGj6ubiOKQ via @BBC
11,0.775,Wed Jan 10 16:10:09 +0000 2018,0.04,0.73,0.231,@BBC,12,RT @TomLondon6: Of course @BBC must deal urgently and decisively with the equal pay issue but it should also engage urgently and in good fa…
12,0.0,Wed Jan 10 16:10:01 +0000 2018,0.0,1.0,0.0,@BBC,13,Applications are OPEN! 14 weeks PAID TV training followed by paid placement @BBC - For more info &amp; to apply visit:… https://t.co/ZPNuUC3Yqi
13,0.0,Wed Jan 10 16:09:39 +0000 2018,0.0,1.0,0.0,@BBC,14,"RT @BBC: 🚀✨ David Bowie changed music forever. 

Throughout his career, he reinvented not just his sound but his persona over &amp; over again.…"
14,0.0,Wed Jan 10 16:09:35 +0000 2018,0.0,1.0,0.0,@BBC,15,@CHI2COL @OscarRainy @melsil @BBC I know what your mother thinks. Go show her how you’re talking to this woman and… https://t.co/EsTA6z5Wau
15,0.4215,Wed Jan 10 16:09:26 +0000 2018,0.0,0.823,0.177,@BBC,16,@CEBaines @CaptainPooper @BBC @Channel4 @4oD @MrCallumBlue I'm starting #AsIfBoxSet and hoping Channel 4 will notice.
16,-0.5913,Wed Jan 10 16:09:15 +0000 2018,0.224,0.692,0.084,@BBC,17,@BBC A dog's ability to smell cancer is genetic. It cannot be created through ANY training. The dog is only being t… https://t.co/oByvSasTcZ
17,0.0,Wed Jan 10 16:08:59 +0000 2018,0.0,1.0,0.0,@BBC,18,"RT @BBC: 🚀✨ David Bowie changed music forever. 

Throughout his career, he reinvented not just his sound but his persona over &amp; over again.…"
18,0.3612,Wed Jan 10 16:08:50 +0000 2018,0.0,0.878,0.122,@BBC,19,RT @BBC: These @BBCWthrWatchers photos capture what the weather has looked like across the UK lately. 🌧❄️🌥🌈 https://t.co/YxteoBMtli https:/…
19,0.3612,Wed Jan 10 16:08:28 +0000 2018,0.0,0.884,0.116,@BBC,20,@BeautifulVeruca @melsil @BBC Sounds like something out of a schoolyard doesn’t it... now get off of her page and g… https://t.co/5sYLvl0hHL
